QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
1,16.66666667,71.08433735,0,0,16.66666667,71.08433735,54.41767068,17,332,Fast
2,66.66666667,88.94878706,16.66666667,71.08433735,50,17.86444971,22.2821204,134,371,Fast
3,75,91.66666667,66.66666667,88.94878706,8.333333333,2.717879605,16.66666667,138,312,Fast
1,0,0,0,0,0,0,0,0,14249,Slow
2,0,0,0,0,0,0,0,0,13133,Slow
3,0,0,0,0,0,0,0,0,12646,Slow
1,0,0,0,0,0,0,0,0,141,Slow
2,0,0,0,0,0,0,0,0,133,Slow
3,0,0,0,0,0,0,0,0,141,Slow
1,0,0,0,0,0,0,0,0,96856,Slow
2,0,0,0,0,0,0,0,0,97651,Slow
3,0,0,0,0,0,0,0,0,105183,Slow
1,100,100,0,0,100,100,0,26264,26264,Fast
2,100,100,100,100,0,0,0,27937,27937,Fast
3,100,100,100,100,0,0,0,30038,30038,Fast
1,0,0,0,0,0,0,0,0,2528,Slow
2,0,0,0,0,0,0,0,0,2313,Slow
3,0,0,0,0,0,0,0,0,2320,Slow
1,100,100,0,0,100,100,0,325,325,Fast
2,100,100,100,100,0,0,0,301,301,Fast
3,100,100,100,100,0,0,0,271,271,Fast
1,50,92.74611399,0,0,50,92.74611399,42.74611399,14,193,Slow
2,33.33333333,86.44067797,50,92.74611399,-16.66666667,-6.305436024,53.10734463,11,177,Slow
3,33.33333333,88.7804878,33.33333333,86.44067797,0,2.339809839,55.44715447,15,205,Slow
1,0,0,0,0,0,0,0,0,954,Slow
2,0,0,0,0,0,0,0,0,964,Slow
3,0,0,0,0,0,0,0,0,981,Slow
1,100,100,0,0,100,100,0,892522,918866,Fast
2,100,100,100,100,0,0,0,843770,868719,Fast
3,100,100,100,100,0,0,0,865987,891373,Fast
1,45.45454545,82.57575758,0,0,45.45454545,82.57575758,37.12121212,490,1056,Fast
2,28.57142857,77.73654917,45.45454545,82.57575758,-16.88311688,-4.839208411,49.16512059,311,1078,Fast
