QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
3,100,100,100,100,0,0,0,120529,120672,Fast
1,92.85714286,97.44722631,0,0,92.85714286,97.44722631,4.590083456,1759,2037,Fast
2,100,100,92.85714286,97.44722631,7.142857143,2.552773687,0,1718,1979,Fast
3,100,100,100,100,0,0,0,120529,120672,Fast
1,0,0,0,0,0,0,0,0,2476,Slow
2,0,0,0,0,0,0,0,0,2608,Slow
3,0,0,0,0,0,0,0,0,2798,Slow
1,0,0,0,0,0,0,0,0,905576,Slow
2,0,0,0,0,0,0,0,0,931917,Slow
3,0,0,0,0,0,0,0,0,1045866,Slow
1,0,0,0,0,0,0,0,0,36176,Slow
2,0,0,0,0,0,0,0,0,36005,Slow
3,0,0,0,0,0,0,0,0,42203,Slow
1,0,0,0,0,0,0,0,0,3359,Slow
2,0,0,0,0,0,0,0,0,3205,Slow
3,0,0,0,0,0,0,0,0,2709,Slow
1,0,0,0,0,0,0,0,0,197684,Slow
2,0,0,0,0,0,0,0,0,184368,Slow
3,0,0,0,0,0,0,0,0,165319,Slow
1,98.03921569,99.98969092,0,0,98.03921569,99.98969092,1.950475236,336216,358907,Fast
2,100,100,98.03921569,99.98969092,1.960784314,0.010309077,0,335031,348121,Fast
3,100,100,100,100,0,0,0,314158,324884,Fast
1,100,100,0,0,100,100,0,285017,290919,Fast
2,100,100,100,100,0,0,0,443031,453377,Fast
3,100,100,100,100,0,0,0,338089,348554,Fast
1,100,100,0,0,100,100,0,389790,474737,Fast
2,100,100,100,100,0,0,0,287733,305366,Fast
3,100,100,100,100,0,0,0,302878,317411,Fast
1,0,0,0,0,0,0,0,0,37442,Fast
2,50.98039216,85.02414184,0,0,50.98039216,85.02414184,34.04374969,5199,37901,Fast
3,92,99.29627994,50.98039216,85.02414184,41.01960784,14.2721381,7.296279943,18434,36236,Fast
1,0,0,0,0,0,0,0,0,34775,Slow
2,0,0,0,0,0,0,0,0,34661,Slow
3,0,0,0,0,0,0,0,0,34418,Slow
1,90.90909091,96.90346084,0,0,90.90909091,96.90346084,5.994369929,482,549,Fast
2,88.88888889,95.54455446,90.90909091,96.90346084,-2.02020202,-1.358906382,6.655665567,335,404,Fast
3,90,97.46376812,88.88888889,95.54455446,1.111111111,1.91921366,7.463768116,447,552,Fast
1,98.03921569,99.98292938,0,0,98.03921569,99.98292938,1.943713691,225357,345623,Fast
2,96.15384615,99.9598044,98.03921569,99.98292938,-1.885369532,-0.023124975,3.805958248,219637,330882,Fast
3,96.15384615,99.94474678,96.15384615,99.9598044,0,-0.015057618,3.79090063,214677,300435,Fast
1,100,100,0,0,100,100,0,454571,457066,Fast
2,100,100,100,100,0,0,0,461848,462951,Fast
3,100,100,100,100,0,0,0,454377,454791,Fast
1,100,100,0,0,100,100,0,413166,454529,Fast
2,100,100,100,100,0,0,0,444908,454015,Fast
3,100,100,100,100,0,0,0,459242,464760,Fast
1,25,18.89044115,0,0,25,18.89044115,-6.109558849,1266,262699,Medium
2,56.25,49.06125198,25,18.89044115,31.25,30.17081083,-7.188748015,36850,103915,Medium
3,61.36363636,59.554223,56.25,49.06125198,5.113636364,10.49297102,-1.809413362,45673,88385,Medium
1,7.692307692,67.26478031,0,0,7.692307692,67.26478031,59.57247262,95,4347,Fast
2,87.5,92.84627093,7.692307692,67.26478031,79.80769231,25.58149062,5.346270928,1757,3942,Fast
3,87.5,92.51112857,87.5,92.84627093,0,-0.335142361,5.011128568,2075,3819,Fast
1,3.333333333,59.05027933,0,0,3.333333333,59.05027933,55.716946,15,5370,Fast
2,36.66666667,89.69957082,3.333333333,59.05027933,33.33333333,30.64929149,53.03290415,1329,5359,Fast
3,66.66666667,96.82746632,36.66666667,89.69957082,30,7.127895504,30.16079965,3071,6903,Fast
1,0,0,0,0,0,0,0,0,3898,Slow
2,0,0,0,0,0,0,0,0,4031,Slow
3,0,0,0,0,0,0,0,0,4261,Slow
1,0,0,0,0,0,0,0,0,5383,Fast
2,0,0,0,0,0,0,0,0,5623,Fast
3,3.333333333,59.05027933,0,0,3.333333333,59.05027933,55.716946,15,5370,Fast
1,97.82608696,99.84751716,0,0,97.82608696,99.84751716,2.021430208,119166,125260,Fast
2,97.82608696,99.86292677,97.82608696,99.84751716,0,0.015409603,2.036839811,116423,118185,Fast
3,97.77777778,99.97537795,97.82608696,99.86292677,-0.048309179,0.112451181,2.197600171,120576,121842,Fast
1,100,100,0,0,100,100,0,891,891,Fast
2,100,100,100,100,0,0,0,624,624,Fast
3,100,100,100,100,0,0,0,586,586,Fast
1,100,100,0,0,100,100,0,468367,468397,Fast
2,100,100,100,100,0,0,0,482612,482637,Fast
3,100,100,100,100,0,0,0,490779,490805,Fast
1,0,0,0,0,0,0,0,0,10273,Slow
2,0,0,0,0,0,0,0,0,9665,Slow
3,0,0,0,0,0,0,0,0,9772,Slow
1,100,100,0,0,100,100,0,2857797,2857797,Fast
2,100,100,100,100,0,0,0,2821789,2821789,Fast
3,100,100,100,100,0,0,0,2769013,2769013,Fast
1,100,100,0,0,100,100,0,4817265,5376577,Fast
2,100,100,100,100,0,0,0,5335677,5775358,Fast
3,100,100,100,100,0,0,0,4711578,5114247,Fast
1,11.9047619,60.76411247,0,0,11.9047619,60.76411247,48.85935057,270,13977,Fast
2,82.22222222,97.16312057,11.9047619,60.76411247,70.31746032,36.3990081,14.94089835,8606,18189,Fast
3,90.90909091,99.21793038,82.22222222,97.16312057,8.686868687,2.054809809,8.308839468,13011,20970,Fast
1,70.96774194,92.46484479,0,0,70.96774194,92.46484479,21.49710285,1360,3769,Fast
2,94.44444444,98.98608819,70.96774194,92.46484479,23.47670251,6.5212434,4.541643742,2983,4241,Fast
3,92.10526316,98.35861209,94.44444444,98.98608819,-2.339181287,-0.627476094,6.253348934,3789,4813,Fast
1,0,0,0,0,0,0,0,0,9868,Fast
2,15.2173913,63.85681293,0,0,15.2173913,63.85681293,48.63942163,249,10392,Fast
3,56.52173913,91.98877805,15.2173913,63.85681293,41.30434783,28.13196512,35.46703892,2778,9624,Fast
1,53.06122449,87.68044388,0,0,53.06122449,87.68044388,34.61921939,4769,21267,Fast
2,66.66666667,92.22695966,53.06122449,87.68044388,13.60544218,4.546515779,25.56029299,6906,21343,Fast
3,70,92.61036026,66.66666667,92.22695966,3.333333333,0.383400598,22.61036026,8431,21679,Fast
1,100,100,0,0,100,100,0,58745,58745,Fast
2,100,100,100,100,0,0,0,57745,57745,Fast
3,100,100,100,100,0,0,0,54137,54137,Fast
1,100,100,0,0,100,100,0,122785,147723,Fast
2,100,100,100,100,0,0,0,119065,144244,Fast
3,100,100,100,100,0,0,0,123714,138653,Fast
1,100,100,0,0,100,100,0,27,154,Fast
2,100,100,100,100,0,0,0,96,163,Fast
3,100,100,100,100,0,0,0,629,697,Fast
1,100,100,0,0,100,100,0,3396104,3396987,Fast
2,100,100,100,100,0,0,0,3143684,3143932,Fast
3,100,100,100,100,0,0,0,3605321,3605559,Fast
1,100,100,0,0,100,100,0,1317471,1317471,Fast
2,100,100,100,100,0,0,0,1355353,1355353,Fast
3,100,100,100,100,0,0,0,1499998,1499998,Fast
1,100,100,0,0,100,100,0,259633,294107,Fast
2,100,100,100,100,0,0,0,269875,301951,Fast
3,100,100,100,100,0,0,0,253685,294347,Fast
